,prompt,skin_L,skin_a,skin_b,skin_R,skin_G,skin_B,skin_h,hex_color
197,a_photo_of_lou_portrait_photography_full_color_face_full_frame,65.65455016265378,15.477917110847248,17.57646831443658,197,149,129,0.8488008988975564,#c59581
198,a_photo_of_kelly_portrait_photography_full_color_face_full_frame,78.71327729243995,12.567103132773358,7.398645607318543,224,186,182,0.532092405122727,#e0bab6
199,a_photo_of_jaycee_portrait_photography_full_color_face_full_frame,74.60426310973057,8.20640878357053,1.8007562199170164,200,178,181,0.2160093376573113,#c8b2b5
200,a_photo_of_tatyana_portrait_photography_full_color_face_full_frame,78.20935873619132,11.350710374073794,8.235849008906149,221,186,179,0.6276882927879166,#ddbab3
201,a_photo_of_rihanna_portrait_photography_full_color_face_full_frame,77.24261819866467,16.80108937319815,25.71258828885107,237,178,144,0.9920214636545289,#edb290
202,a_photo_of_rush_portrait_photography_full_color_face_full_frame,78.27630904583886,12.388723041515377,19.5098769048953,229,185,158,1.005040079337178,#e5b99e
203,a_photo_of_rae_portrait_photography_full_color_face_full_frame,72.61352840110793,15.420357851089442,6.40603744429841,211,168,167,0.3937346167104602,#d3a8a7
204,.ipynb_checkpoints,73.22777309622896,16.519193764379672,26.03199157024504,224,168,133,1.0053427978999958,#e0a885
205,a_photo_of_dennis_portrait_photography_full_color_face_full_frame,77.41070377724628,12.591834688246948,5.7902195472343685,219,183,181,0.43100603899462403,#dbb7b5
206,a_photo_of_billy_portrait_photography_full_color_face_full_frame,82.42885685679218,11.556953839531916,12.093732411383726,236,197,183,0.8080903773719227,#ecc5b7
207,a_photo_of_julia_portrait_photography_full_color_face_full_frame,81.70584919367698,9.858843678349322,9.950968976474114,229,196,185,0.7900486179780215,#e5c4b9
208,a_photo_of_judge_portrait_photography_full_color_face_full_frame,62.909780234838564,9.220743913181396,6.706589992701684,173,146,141,0.6288384490166143,#ad928d
209,a_photo_of_dennis_portrait_photography_full_color_face_full_frame,66.51029910617837,10.305733145147858,-0.6112980716553529,180,156,163,-0.05924689076772162,#b49ca3
210,a_photo_of_konnie_portrait_photography_full_color_face_full_frame,70.27927848790404,14.363786120923212,13.887839907680926,207,162,147,0.7685530729871587,#cfa293
211,a_photo_of_bd_portrait_photography_full_color_face_full_frame,79.36032806813297,-0.03642028607239586,0.0387598052067857,197,197,196,-0.8165069895368087,#c5c5c4
212,a_photo_of_johnny_portrait_photography_full_color_face_full_frame,62.68447870599394,24.708682971482723,16.75024486056981,202,134,123,0.5957456007176537,#ca867b
213,a_photo_of_ben_portrait_photography_full_color_face_full_frame,70.52329329687304,14.752818677826617,13.45233075179075,208,162,149,0.7393226229586439,#d0a295
214,a_photo_of_dalip_portrait_photography_full_color_face_full_frame,68.07384280629489,17.41576863896674,23.081375106491333,210,153,125,0.9243973835174581,#d2997d
215,a_photo_of_lady_portrait_photography_full_color_face_full_frame,74.9723542584968,10.052437503434074,17.492697535826032,215,177,153,1.0492139963450249,#d7b199
216,a_photo_of_amita_portrait_photography_full_color_face_full_frame,74.30034068875835,-0.005332262259941786,-0.06808176870971021,183,183,183,1.4926344462312207,#b7b7b7
217,a_photo_of_lilly_portrait_photography_full_color_face_full_frame,74.75663620536375,13.069450288603685,9.177507042259254,214,175,168,0.6122080745759692,#d6afa8
218,a_photo_of_dev_portrait_photography_full_color_face_full_frame,58.859923445710855,17.164978257232846,8.428852028272924,176,130,128,0.456461512803794,#b08280
219,a_photo_of_harrison_portrait_photography_full_color_face_full_frame,68.20687983022773,10.688426593101163,9.69064707593624,192,159,149,0.7364762451057422,#c09f95
220,a_photo_of_ed_portrait_photography_full_color_face_full_frame,64.88002072864695,17.67804992277212,13.136619719236585,196,145,135,0.6390726799338701,#c49187
221,brad,61.81022003831383,23.918291225064795,8.421023918105416,195,133,135,0.3385218595159914,#c38587
222,a_photo_of_kunal_portrait_photography_full_color_face_full_frame,61.42222890707525,24.86477602002266,20.12641963379309,200,131,114,0.6804675632942553,#c88372
223,a_photo_of_sandra_portrait_photography_full_color_face_full_frame,77.39322049838118,10.502620717775251,10.942025704124859,219,184,171,0.805885491504625,#dbb8ab
224,a_photo_of_paul_portrait_photography_full_color_face_full_frame,72.10759522660129,0.02092533003992377,-0.15239986720979412,177,177,177,-1.4343441242138366,#b1b1b1
225,a_photo_of_cher_portrait_photography_full_color_face_full_frame,80.66637533780717,9.505904025696983,12.878852239876615,227,193,177,0.9349536552277002,#e3c1b1
226,a_photo_of_tatyana_portrait_photography_full_color_face_full_frame,78.53266468460366,9.862506790804353,10.843390731082248,221,187,175,0.8327349756958722,#ddbbaf
227,a_photo_of_geraldine_portrait_photography_full_color_face_full_frame,73.75256754812058,15.57431747148107,9.095225401342459,216,171,165,0.5285632866058511,#d8aba5
228,a_photo_of_meera_portrait_photography_full_color_face_full_frame,72.51311681819129,13.11855539991613,20.254749301244033,214,168,142,0.9960551800692106,#d6a88e
229,a_photo_of_konnie_portrait_photography_full_color_face_full_frame,68.90464288749358,19.282773514404216,19.91277431006479,213,155,133,0.8014700538399534,#d59b85
230,a_photo_of_cher_portrait_photography_full_color_face_full_frame,83.50450215223363,-0.13557737905634223,-0.06202074540897241,208,208,208,0.4290373762834987,#d0d0d0
231,a_photo_of_judge_portrait_photography_full_color_face_full_frame,70.39593933046022,11.34628521459032,18.768836056790953,205,164,139,1.0270541314087775,#cda48b
232,a_photo_of_beyoncé_portrait_photography_full_color_face_full_frame,79.22289143396797,0.007918640025102619,0.0015832972069836915,196,196,196,0.19734324869371797,#c4c4c4
233,a_photo_of_dalip_portrait_photography_full_color_face_full_frame,67.00579262782549,12.889801411886387,14.771882803180983,195,154,137,0.8533327529506541,#c39a89
234,a_photo_of_kevin_portrait_photography_full_color_face_full_frame,78.75973115272026,10.157375510855585,8.148523386733853,220,188,180,0.6760975445677317,#dcbcb4
235,a_photo_of_celine_portrait_photography_full_color_face_full_frame,64.61492544988636,7.733098449346495,15.830437787349986,181,151,129,1.116394561060789,#b59781
236,a_photo_of_bruce_portrait_photography_full_color_face_full_frame,60.81708144550155,17.36025287476439,11.921369868960207,184,135,127,0.60174720386098,#b8877f
237,a_photo_of_taylor_portrait_photography_full_color_face_full_frame,72.07736383321688,17.72070608343124,12.219218164353748,216,165,155,0.603674434231205,#d8a59b
238,a_photo_of_kobe_portrait_photography_full_color_face_full_frame,72.1556311397407,22.087944222669098,28.902323542339072,231,161,125,0.9182517630813506,#e7a17d
239,a_photo_of_katy_portrait_photography_full_color_face_full_frame,70.90714515278808,10.238151621172786,5.911549260625561,197,167,163,0.5236390406807452,#c5a7a3
240,a_photo_of_dwayne_portrait_photography_full_color_face_full_frame,64.11799058393647,20.20630252560187,15.99596215438617,199,142,128,0.6696178316967996,#c78e80
241,a_photo_of_mariah_portrait_photography_full_color_face_full_frame,75.14960006199573,13.436132602987321,17.12845828447723,221,175,154,0.9056196278384822,#ddaf9a
242,a_photo_of_lou_portrait_photography_full_color_face_full_frame,65.13459981757573,19.16093417695795,18.888211447578136,202,145,125,0.7782306421651122,#ca917d
